,Name Institution,Adresse Institution,Ansprechpartner für Schulen,Mailadresse,Telefonnummer,Titel der Veranstaltung,Beschreibung,Art der Veranstaltung,Veranstaltungsort,SDG 1,SDG 2,SDG 3,Dauer der Veranstaltung in Minuten,Zielgruppe,Geeignet für Unterrichtsfächer,Kosten,Logo
1,DAHW Deutsche Lepra- und Tuberkulosehilfe e.V. ,"Raiffeisenstraße 3, 97080 Würzburg",Saanika Amembal,saanika.amembal@dahw.de ,+49 (0) 931/7948-172,"One Health: Gesundheit von Mensch, Tier, Umwelt ","1) die Zusammenhänge und Wechselwirkungen von Mensch, Tier, Umwelt und Gesundheit werden anhand von Aspekten wie Klimawandel, Nahrung, Tierhaltung und Covid-19 aufgezeigt 2) einen Einblick darüber erhalten, wie unterschiedlich diese Zusammenhänge auf der Welt Gestalt annehmen. Ziel ist es, Bewusstsein dafür zu schaffen, dass es möglich ist, die eigene Gesundheit positiv zu beeinflussen; dass Umstände auf der Welt existieren, die dies erschweren.","Vortrag, Workshop, interaktive Unterrichtseinheit mit einer digitalen Lernplattform","Schule, digital",SDG-icon-DE-03,SDG-icon-DE-06,SDG-icon-DE-15,90,SEK I,"Religion/ Ethik, Biologie, Geografie, Sozialkunde",nein,DAHW.jpg
2,DAHW Deutsche Lepra- und Tuberkulosehilfe e.V. ,"Raiffeisenstraße 3, 97080 Würzburg",Saanika Amembal,saanika.amembal@dahw.de ,+49 (0) 931/7948-172,Geschlechtergleichheit: Frauen in Indien ,"Den Lernenden werden zielgruppenorientiert 1) Ungleichstellung von Frauen vermittelt 2) Erläuterungen zum Begriff der ,,Gender-' und , ,,Geschlechtergleichheit''vermittelt. Gemeinsam wird erarbeitet, wie sich Geschlechterungleichheit in Deutschland und Indien darstellt. Das Ziel ist es, Bewusstsein für die Geschlechtergleichheit zu schaffen, Stereotyopen zu hinterfragen und persönliche Aktionsradien aufzuzeigen, die zur einer gerechteren Welt beitragen.","Vortrag, Workshop","Schule, digital",SDG-icon-DE-05,SDG-icon-DE-10,SDG-icon-DE-08,90,"GS, FS","Religion, Ethik, Sozialkunde",nein,DAHW.jpg
3,DAHW Deutsche Lepra- und Tuberkulosehilfe e.V. ,"Raiffeisenstraße 3, 97080 Würzburg",Saanika Amembal,saanika.amembal@dahw.de ,+49 (0) 931/7948-172,Entwicklung: eine kritische Perspektive ,"Den Lernenden werden zielgruppenorientiert 1) verschiedene Ansätze zum Thema ,,Entwicklung'' aus Afrika, Asien und Lateinamerika vermittelt. 2) die Facetten der gesellschaftlichen Entwicklung aufgezeigt. Gemeinsam wird erarbeitet, inwiefern der Eurozentrismus Beriffe wie ,,Entwicklung'' prägt. Das Ziel ist es, Bewusstsein für globale Ungleichheiten zu schaffen, Eurozentrismus abzubauen  und persönliche Aktionsradien aufzuzeigen, die zur einer gerechteren Welt beitragen.",Vortrag,,SDG-icon-DE-17,SDG-icon-DE-10,SDG-icon-DE-16,,BS,"Religion, Ethik, Sozialkunde",nein,DAHW.jpg
4,Eine-Welt-Verein Karlstein e.V.,"Schulstr. 21, 63791 Karlstein am Main",Margit Scherer-Lange,Margit@jomala.de,06188-7672,Bananentag,"5 Module für 3. Klasse Grundschule: 1.Frühstück (mit Bananenmüsli, Bananenmilch), 2.Taschen bemalen (Baumwolltaschen mit Bananen-Motiv), 3. Bananendialog - 2 Bananen unterhalten sich (die faire und die ""normale"", 4. Weltladen besichtigen: Welche Produkte? Aus welchen Ländern? Was kosten sie? Wie leben die Bauern und deren Kinder? Was ist das Besondere ""fairer B.?, 5. Film /Vorlesegeschichte mit Diskussion im Anschluss ""krumm, gelb und fair"", 90 Minuten GS, 120 Minuten Pfarrsaal/Weltladen",Workshop,"Schule, Pfarrsaal/Weltladen (Schulstr. 21 Karlstein)",SDG-icon-DE-01,SDG-icon-DE-03,SDG-icon-DE-12,210 Minuten,GS,"HSU, Ethik",150,WL_Karlstein.jpg
5,LehrLernGarten des Botanischen Gartens der Universität Würzburg,"Julius-von-Sachs-Platz 4, 97082 Würzburg",Christina Specht (Sekretariat), llg@botanik.uni-wuerzburg.de,0931-31 86 241,Schoko-Werkstatt,"Welche Pflanzen stecken in Schokolade und wie wird sie gemacht? Welche Folgen hat ihre Herstellung für die Natur und die Menschen, die daran beteiligt sind? Welche Rolle spielt dabei der faire Handel? Diesen und weiteren Fragen gehen wir bei der Schokowerkstatt gemeinsam nach. Dabei lernen wir den Regenwald und die Pflanzen, aus denen Schokolade gemacht wird, mit allen Sinnen kennen und stellen am Ende unsere eigene Kakaocreme her.",Workshop,Botanischer Garten Würzburg,SDG-icon-DE-12,SDG-icon-DE-15,SDG-icon-DE-08,90-180,"GS, SEK I, SEK II, FS, BS",,5/ Schüler*in,LehrLernGarten.jpg
6,Umweltstation Kitzinger Land,"aktuell noch: Kaiserstraße 4, 97318 Kitzingen",Ronja Rohlik (Leitung),ronja.rohlik@kitzingen.de ,09321/928-1113,Next Exit Biodiversity,"In diesem interaktiven Spiel, angelehnt an das Konzept der Escape Games, wird das Thema ""biologische Vielfalt"" und das Thema Naturschutz spielerisch durch das Lösen von Rätseln mit den Schüler:innen erarbeitet. Neben der Erweiterung der Kenntnisse zum Thema Biodiversität, regt das Projekt die Jugendlichen an, selbst Maßnahmen und Projekte an ihrer Schule zur Stärkung der Biodiversität durchzuführen.",Workshop,Schule,SDG-icon-DE-13,SDG-icon-DE-15,SDG-icon-DE-11,90-120,"SEK I, SEK II, BS","Biologie, Geographie, Sozialkunde",Nein,UWS_Kitzinger_Land.jpg
7,Umweltstation Kitzinger Land,"aktuell noch: Kaiserstraße 4, 97318 Kitzingen",Ronja Rohlik (Leitung),ronja.rohlik@kitzingen.de ,09321/928-1113,"Immer mehr und mehr - Klima, Konsum, Leben","In diesem Workshop beschäftigen sich die Schüler:innen zunächst über die Auseinandersetzung mit dem Begriff ""Glück"" mit dem Thema ""Konsum"" und dessen Bedeutung in ihrem Alltag. Im Anschluss daran wird gemeinsam erarbeitet, welche Auswirkungen unser Konsum auf die globale Welt (sozial, ökologisch, ökonomisch) hat. Zum Ende werden die Schüler:innen angeregt, sich selbst eigene Gedanken dazu machen, welche Projekte  sie in Zukunft für mehr Nachhaltigkeit  in ihrer Schule umsetzten können.",Workshop,Schule,SDG-icon-DE-12,SDG-icon-DE-08,SDG-icon-DE-10,135 -180,"SEK I, SEK II, BS",Sozialkunde,Nein,UWS_Kitzinger_Land.jpg
8,Umweltstation Tierpark Sommerhausen,"An der Tränk, 97286 Sommerhausen",Thomas Biechele-Kusch,umweltstation@tierparksommerhausen.de,09333-902810,"Schwache Länder, starke Länder, reiche Welt ","Im Tierpark leben Tiere aus verschiedensten Ländern der Erde. Bei einem Rundgang besuchen wir einige davon und bekommen gleichzeitig interessante Infos zu den Herkunftsländern und deren unterschiedlichen Lebensbedingungen. Wir lernen dabei, wie sich Entwicklungs-, Schwellen- und Industrieländer unterscheiden. Haben wir denn das Gefühl, das auf der Welt alles „gerecht“ verteilt ist? Was könnten die Gründe für eine globale Ungleichheit der Chancen sein? Und welche Handlungsalternativen haben wir?","Workshop, Rundgang",Tierpark Sommerhausen,SDG-icon-DE-01,SDG-icon-DE-02,SDG-icon-DE-03,90 bis 120,"GS, SEK I, FS","Biologie, Sozialkunde",39 Euro bis 52 Euro,Sommerhausen.jpg
9,Umweltstation Tierpark Sommerhausen,"An der Tränk, 97286 Sommerhausen",Thomas Biechele-Kusch,umweltstation@tierparksommerhausen.de,09333-902810,Die globale Torte –  ein Planspiel zur globalen Gerechtigkeit ,"Ist auf der Erde alles gerecht verteilt oder gibt es da vielleicht große Unterschiede? In diesem Planspiel wird die Gruppe in Länder aufgeteilt, die recht unterschiedliche Voraussetzungen mitbringen. Das Ziel ist, im weltweiten Handel einen möglichst hohen Gewinn zu erzielen.Welches Land wird wohl ganz vorne liegen? Am Ende fragen wir uns, was globale Gerechtigkeit und Chancenverteilung auf der Welt bedeutet und welche Möglichkeiten wir mit unserem ökologischen Handabdruck haben.",Planspiel,Tierpark Sommerhausen,SDG-icon-DE-01,SDG-icon-DE-02,SDG-icon-DE-03,120 bis 180,"SEK II, BS","Biologie, Sozialkunde",52 Euro bis 78 Euro,Sommerhausen.jpg
10,Weltladen/ Eine Welt Station Aschaffenburg,"Treibgasse 3, 63739 Aschaffenburg",Berit Schurse,schurse@weltladen-aschaffenburg.de,06021-3288699,„Orte des Wandels“ - ein Rundgang durch Aschaffenburg,"Die globalisierte Welt ist längst in unserem Alltag angekommen, die mit ihr verbundenen Ungerechtigkeiten ebenso. Auf unserem Rundgang lernen wir Akteure kennen, die sich beispielhaft z.B. für eine gerechtere Ressourcenverteilung, Klimagerechtigkeit und faire Produktionsbedingungen einsetzen und somit unsere Welt zukunftsfähiger gestalten wollen.",Rundgang,draußen,SDG-icon-DE-08,SDG-icon-DE-12,SDG-icon-DE-11,90,"SEK I, SEK II","Sozialkunde, Geografie, Religion",Nein,WL_AB.jpg
